date,code_id,option_type,K,T,sigma_bsm
2016-03-01,10000402,P,1.8,2016-03-23,0.22572424540687608
2016-03-02,10000402,P,1.8,2016-03-23,0.3004390467729635
2016-03-03,10000402,P,1.8,2016-03-23,0.29417548812866356
2016-03-04,10000402,P,1.8,2016-03-23,0.057979624
2016-03-07,10000402,P,1.8,2016-03-23,0.059961913
2016-03-08,10000402,P,1.8,2016-03-23,0.058968139
2016-03-09,10000402,P,1.8,2016-03-23,0.059811043
2016-03-10,10000402,P,1.8,2016-03-23,0.060199057
2016-03-11,10000402,P,1.8,2016-03-23,0.06016614
2016-03-14,10000402,P,1.8,2016-03-23,0.060551260999999995
2016-03-15,10000402,P,1.8,2016-03-23,0.061834559000000004
2016-03-16,10000402,P,1.8,2016-03-23,0.064645986
2016-03-17,10000402,P,1.8,2016-03-23,0.06463248
2016-03-18,10000402,P,1.8,2016-03-23,0.06701103
2016-03-21,10000402,P,1.8,2016-03-23,0.070777424
2016-03-22,10000402,P,1.8,2016-03-23,0.073348828
2016-03-23,10000402,P,1.8,2016-03-23,0.074450817
2016-03-24,10000589,C,2.2,2016-04-27,0.046555655953689
2016-03-25,10000589,C,2.2,2016-04-27,0.04211675326073609
2016-03-28,10000589,C,2.2,2016-04-27,0.0679937375145957
2016-03-29,10000589,C,2.2,2016-04-27,0.08823610844054718
2016-03-30,10000589,C,2.2,2016-04-27,-0.6966873266903659
2016-03-31,10000589,C,2.2,2016-04-27,-0.1542558592808066
2016-04-01,10000589,C,2.2,2016-04-27,0.2360417290718195
2016-04-05,10000589,C,2.2,2016-04-27,0.23966342606447116
2016-04-06,10000589,C,2.2,2016-04-27,-0.45239585677254873
2016-04-07,10000589,C,2.2,2016-04-27,0.06257511215881414
2016-04-08,10000579,C,2.15,2016-04-27,0.23835695949133387
2016-04-11,10000579,C,2.15,2016-04-27,0.24446880389276693
2016-04-12,10000579,C,2.15,2016-04-27,0.24408818528658852
2016-04-13,10000579,C,2.15,2016-04-27,-0.08212560302168366
2016-04-14,10000579,C,2.15,2016-04-27,0.025911402981804176
2016-04-15,10000579,C,2.15,2016-04-27,0.03124704610807287
2016-04-18,10000579,C,2.15,2016-04-27,0.2454021955795288
2016-04-19,10000579,C,2.15,2016-04-27,-0.5218076461278638
2016-04-20,10000579,C,2.15,2016-04-27,0.24506274966931021
2016-04-21,10000579,C,2.15,2016-04-27,0.24445248180948856
2016-04-22,10000579,C,2.15,2016-04-27,0.24451372023864287
2016-04-25,10000579,C,2.15,2016-04-27,-0.012231353961478557
2016-04-26,10000597,C,2.3,2016-04-27,0.021155174
2016-04-27,10000597,C,2.3,2016-04-27,0.018799639
2016-04-28,10000603,C,2.15,2016-05-25,0.24454182826653592
2016-04-29,10000603,C,2.15,2016-05-25,0.008559608540087325
2016-05-03,10000603,C,2.15,2016-05-25,0.24494792416030456
2016-05-04,10000603,C,2.15,2016-05-25,0.2455048843068984
2016-05-05,10000603,C,2.15,2016-05-25,0.2451861359642339
2016-05-06,10000603,C,2.15,2016-05-25,0.04115883920289711
2016-05-09,10000603,C,2.15,2016-05-25,0.08012215902006334
2016-05-10,10000603,C,2.15,2016-05-25,0.07845864625527763
2016-05-11,10000603,C,2.15,2016-05-25,0.06709545292001537
2016-05-12,10000603,C,2.15,2016-05-25,0.0641156020404859
2016-05-13,10000603,C,2.15,2016-05-25,0.06915203743887374
2016-05-16,10000603,C,2.15,2016-05-25,0.07860406050265456
2016-05-17,10000603,C,2.15,2016-05-25,0.04869895988380541
2016-05-18,10000603,C,2.15,2016-05-25,0.05049051909525613
2016-05-19,10000603,C,2.15,2016-05-25,0.10220636098435837
2016-05-20,10000603,C,2.15,2016-05-25,0.0925619320398538
2016-05-23,10000603,C,2.15,2016-05-25,0.037842991
2016-05-24,10000523,C,2.1,2016-06-22,-0.0028716647299790385
2016-05-25,10000523,C,2.1,2016-06-22,-0.08107518637202968
2016-05-26,10000523,C,2.1,2016-06-22,-0.05811825616696453
2016-05-27,10000523,C,2.1,2016-06-22,-0.4250512744376055
2016-05-30,10000523,C,2.1,2016-06-22,0.24427738707789753
2016-05-31,10000459,C,2.15,2016-06-22,0.2441129040641605
2016-06-01,10000459,C,2.15,2016-06-22,0.24443241907434396
2016-06-02,10000459,C,2.15,2016-06-22,0.24405673298528682
2016-06-03,10000459,C,2.15,2016-06-22,0.24517787357849802
2016-06-06,10000459,C,2.15,2016-06-22,0.2440940039247901
2016-06-07,10000459,C,2.15,2016-06-22,0.24452453428485332
2016-06-08,10000459,C,2.15,2016-06-22,0.2449307117788549
2016-06-13,10000459,C,2.15,2016-06-22,0.07843794074745312
2016-06-14,10000459,C,2.15,2016-06-22,0.06817768524686217
2016-06-15,10000459,C,2.15,2016-06-22,0.05426464184192813
2016-06-16,10000459,C,2.15,2016-06-22,0.06350093295738357
2016-06-17,10000459,C,2.15,2016-06-22,0.06107483613764705
2016-06-20,10000459,C,2.15,2016-06-22,0.08995788477182898
2016-06-21,10000634,C,2.1,2016-07-27,0.24481365067081057
2016-06-22,10000634,C,2.1,2016-07-27,-0.017284509896419727
2016-06-23,10000634,C,2.1,2016-07-27,0.2449979911275888
2016-06-24,10000634,C,2.1,2016-07-27,0.24465837436844276
2016-06-27,10000634,C,2.1,2016-07-27,0.2448637116916321
2016-06-28,10000634,C,2.1,2016-07-27,-0.310456989868617
2016-06-29,10000634,C,2.1,2016-07-27,0.020961271485699037
2016-06-30,10000639,P,2.1,2016-07-27,0.023656001869713585
2016-07-01,10000639,P,2.1,2016-07-27,0.028500977324452195
2016-07-04,10000639,P,2.1,2016-07-27,0.05701582137060315
2016-07-05,10000639,P,2.1,2016-07-27,0.06330894964843059
2016-07-06,10000639,P,2.1,2016-07-27,0.06336999278893751
2016-07-07,10000639,P,2.1,2016-07-27,0.07077369191271561
2016-07-08,10000641,C,2.2,2016-07-27,0.016806767640285426
